token,title,top_description_text,middle_description_text,bottom_description_text,image_count,image_url
AZZWl5Op,اجاره منزل قدیمی در عادل آباد جهت انباری,"ودیعه: ۱۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰,۰۰۰,۰۰۰ تومان",پریروز در عادل‌آباد (بلوار عدالت),0,
AZBuX6kH,اجاره/منزل ویلایی/مناسب جهت مسافر خانه/شاهچراغ,"ودیعه: ۳۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۳۰,۰۰۰,۰۰۰ تومان",مشاور فیروزکوهی در محله سر دزک,1,https://s100.divarcdn.com/static/thumbnails/1687803818/AZBuX6kH.jpg
AZZ6VwZf,منزل ویلایی یک طبقه براصلی بین فلکه اول و‌دوم,"ودیعه: ۲۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۳۱,۰۰۰,۰۰۰ تومان",آژانس املاک مهندس پارسایی در شهرک گلستان,1,https://s100.divarcdn.com/static/thumbnails/1687786422/AZZ6VwZf.jpg
AZW-pTAP,ویلایی دو طبقه دربست زرهی,"ودیعه: ۱,۰۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۷,۰۰۰,۰۰۰ تومان",مشاور محمد کشاورز در زرهی,0,
AZP2gXcY,ویلایی همکف/5خواب/همت جنوبی,"ودیعه: ۵۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۳۰,۰۰۰,۰۰۰ تومان",آژانس املاک پلاک اول در فرهنگ شهر,0,
AZTaRItb,ویلایی نشاط,"ودیعه: ۴۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۴۰,۰۰۰,۰۰۰ تومان",مشاور ایرانو در نشاط,0,
AZRGGiBK,خونه ویلایی دو طبقه دربست بر معدل,"ودیعه: ۲۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۵,۰۰۰,۰۰۰ تومان",آژانس املاک مرکزی در سینما سعدی,0,
AZJC82ca,منزل دوطبقه با موقعیت اداری,"ودیعه: ۲۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۷,۰۰۰,۰۰۰ تومان",آژانس املاک مرکزی در سینما سعدی,0,
AZJanE27,رهن واجاره منزل یک طبقه نیم دربست,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۱,۰۰۰,۰۰۰ تومان",آژانس املاک قصر سپید در شهرک گلستان,3,https://s100.divarcdn.com/static/thumbnails/1687170360/AZJanE27.jpg
AZOGsPDr,ویلایی دو طبقه,"ودیعه: ۸۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۰,۰۰۰,۰۰۰ تومان",هفتهٔ پیش در ریشمک,0,
